"sitemap","segment","url","lastmod","changefreq","priority","http_status","content_type","final_url","h1_count","root_filled","canonical","canonical_matches","robots","noindex","schema_types","bytes","audit_status","error"
"sitemap-pages.xml","Hlavní veřejné stránky","https://restartintegrace.dk-i.cz/","2026-07-30","weekly","1.0","200","text/html; charset=utf-8","https://restartintegrace.dk-i.cz/","1","true","https://restartintegrace.dk-i.cz/","true","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","false","Organization; PostalAddress; WebSite; WebPage; ImageObject; BreadcrumbList; ListItem","16975","OK",""
"sitemap-pages.xml","Hlavní veřejné stránky","https://restartintegrace.dk-i.cz/co-delame","2026-07-30","monthly","0.8","200","text/html; charset=utf-8","https://restartintegrace.dk-i.cz/co-delame","1","true","https://restartintegrace.dk-i.cz/co-delame","true","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","false","Organization; PostalAddress; WebSite; WebPage; ImageObject; BreadcrumbList; ListItem","17046","OK",""
"sitemap-pages.xml","Hlavní veřejné stránky","https://restartintegrace.dk-i.cz/povinne-zverejnovani","2026-07-30","monthly","0.7","200","text/html; charset=utf-8","https://restartintegrace.dk-i.cz/povinne-zverejnovani","1","true","https://restartintegrace.dk-i.cz/povinne-zverejnovani","true","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","false","Organization; PostalAddress; WebSite; WebPage; ImageObject; BreadcrumbList; ListItem","16649","OK",""
"sitemap-pages.xml","Hlavní veřejné stránky","https://restartintegrace.dk-i.cz/kontakt","2026-07-30","monthly","0.7","200","text/html; charset=utf-8","https://restartintegrace.dk-i.cz/kontakt","1","true","https://restartintegrace.dk-i.cz/kontakt","true","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","false","Organization; PostalAddress; WebSite; WebPage; ImageObject; BreadcrumbList; ListItem","16225","OK",""
"sitemap-pages.xml","Hlavní veřejné stránky","https://restartintegrace.dk-i.cz/pro-firmy","2026-07-30","monthly","0.6","200","text/html; charset=utf-8","https://restartintegrace.dk-i.cz/pro-firmy","1","true","https://restartintegrace.dk-i.cz/pro-firmy","true","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","false","Organization; PostalAddress; WebSite; WebPage; ImageObject; BreadcrumbList; ListItem","16396","OK",""
"sitemap-pages.xml","Hlavní veřejné stránky","https://restartintegrace.dk-i.cz/media","2026-07-30","monthly","0.5","200","text/html; charset=utf-8","https://restartintegrace.dk-i.cz/media","1","true","https://restartintegrace.dk-i.cz/media","true","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","false","Organization; PostalAddress; WebSite; WebPage; ImageObject; BreadcrumbList; ListItem","16266","OK",""
"sitemap-pages.xml","Hlavní veřejné stránky","https://restartintegrace.dk-i.cz/webove-gdpr","2026-07-30","yearly","0.4","200","text/html; charset=utf-8","https://restartintegrace.dk-i.cz/webove-gdpr","1","true","https://restartintegrace.dk-i.cz/webove-gdpr","true","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","false","Organization; PostalAddress; WebSite; WebPage; ImageObject; BreadcrumbList; ListItem","16227","OK",""
"sitemap-pages.xml","Hlavní veřejné stránky","https://restartintegrace.dk-i.cz/zasady-ochrany-osobnich-udaju","2026-07-30","yearly","0.4","200","text/html; charset=utf-8","https://restartintegrace.dk-i.cz/zasady-ochrany-osobnich-udaju","1","true","https://restartintegrace.dk-i.cz/zasady-ochrany-osobnich-udaju","true","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","false","Organization; PostalAddress; WebSite; WebPage; ImageObject; BreadcrumbList; ListItem","16599","OK",""
"sitemap-programs.xml","Programy","https://restartintegrace.dk-i.cz/programy","2026-07-30","monthly","0.9","200","text/html; charset=utf-8","https://restartintegrace.dk-i.cz/programy","1","true","https://restartintegrace.dk-i.cz/programy","true","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","false","Organization; PostalAddress; WebSite; WebPage; ImageObject; BreadcrumbList; ListItem","16737","OK",""
"sitemap-programs.xml","Programy","https://restartintegrace.dk-i.cz/programy/jailbreak","2026-07-30","weekly","0.95","200","text/html; charset=utf-8","https://restartintegrace.dk-i.cz/programy/jailbreak","1","true","https://restartintegrace.dk-i.cz/programy/jailbreak","true","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","false","Organization; PostalAddress; WebSite; WebPage; ImageObject; BreadcrumbList; ListItem; Service; Country; Audience; OfferCatalog; Offer; Article","22982","OK",""
"sitemap-programs.xml","Programy","https://restartintegrace.dk-i.cz/programy/reset","2026-07-30","monthly","0.8","200","text/html; charset=utf-8","https://restartintegrace.dk-i.cz/programy/reset","1","true","https://restartintegrace.dk-i.cz/programy/reset","true","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","false","Organization; PostalAddress; WebSite; WebPage; ImageObject; BreadcrumbList; ListItem","16840","OK",""
"sitemap-programs.xml","Programy","https://restartintegrace.dk-i.cz/programy/rework","2026-07-30","monthly","0.8","200","text/html; charset=utf-8","https://restartintegrace.dk-i.cz/programy/rework","1","true","https://restartintegrace.dk-i.cz/programy/rework","true","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","false","Organization; PostalAddress; WebSite; WebPage; ImageObject; BreadcrumbList; ListItem","16856","OK",""
"sitemap-programs.xml","Programy","https://restartintegrace.dk-i.cz/programy/streetwise","2026-07-30","monthly","0.8","200","text/html; charset=utf-8","https://restartintegrace.dk-i.cz/programy/streetwise","1","true","https://restartintegrace.dk-i.cz/programy/streetwise","true","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","false","Organization; PostalAddress; WebSite; WebPage; ImageObject; BreadcrumbList; ListItem","16899","OK",""
"sitemap-programs.xml","Programy","https://restartintegrace.dk-i.cz/programy/bod-zlomu","2026-07-30","monthly","0.8","200","text/html; charset=utf-8","https://restartintegrace.dk-i.cz/programy/bod-zlomu","1","true","https://restartintegrace.dk-i.cz/programy/bod-zlomu","true","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","false","Organization; PostalAddress; WebSite; WebPage; ImageObject; BreadcrumbList; ListItem","16917","OK",""
"sitemap-programs.xml","Programy","https://restartintegrace.dk-i.cz/programy/stabilizace","2026-07-30","monthly","0.8","200","text/html; charset=utf-8","https://restartintegrace.dk-i.cz/programy/stabilizace","1","true","https://restartintegrace.dk-i.cz/programy/stabilizace","true","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","false","Organization; PostalAddress; WebSite; WebPage; ImageObject; BreadcrumbList; ListItem","16939","OK",""
"sitemap-stories.xml","Příběhy druhé šance","https://restartintegrace.dk-i.cz/aktuality","2026-07-30","weekly","0.7","200","text/html; charset=utf-8","https://restartintegrace.dk-i.cz/aktuality","1","true","https://restartintegrace.dk-i.cz/aktuality","true","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","false","Organization; PostalAddress; WebSite; WebPage; ImageObject; BreadcrumbList; ListItem; Article","17274","OK",""
"sitemap-stories.xml","Příběhy druhé šance","https://restartintegrace.dk-i.cz/pribehy-druhe-sance","2026-07-30","weekly","0.85","200","text/html; charset=utf-8","https://restartintegrace.dk-i.cz/pribehy-druhe-sance","1","true","https://restartintegrace.dk-i.cz/pribehy-druhe-sance","true","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","false","Organization; PostalAddress; WebSite; WebPage; ImageObject; BreadcrumbList; ListItem; Article","17504","OK",""
"sitemap-stories.xml","Příběhy druhé šance","https://restartintegrace.dk-i.cz/pribehy-druhe-sance/story-z-praxe-ne-od-stolu","2026-07-30","weekly","0.78","200","text/html; charset=utf-8","https://restartintegrace.dk-i.cz/pribehy-druhe-sance/story-z-praxe-ne-od-stolu","1","true","https://restartintegrace.dk-i.cz/pribehy-druhe-sance/story-z-praxe-ne-od-stolu","true","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","false","Organization; PostalAddress; WebSite; WebPage; ImageObject; BreadcrumbList; ListItem; Article","19003","OK",""
"sitemap-stories.xml","Příběhy druhé šance","https://restartintegrace.dk-i.cz/pribehy-druhe-sance/story-petr-s-druha-sance","2026-07-30","monthly","0.74","200","text/html; charset=utf-8","https://restartintegrace.dk-i.cz/pribehy-druhe-sance/story-petr-s-druha-sance","1","true","https://restartintegrace.dk-i.cz/pribehy-druhe-sance/story-petr-s-druha-sance","true","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","false","Organization; PostalAddress; WebSite; WebPage; ImageObject; BreadcrumbList; ListItem; Article","18824","OK",""
"sitemap-news.xml","Aktuality a tematické archivy","https://restartintegrace.dk-i.cz/aktuality","2026-07-12","daily","0.8","200","text/html; charset=utf-8","https://restartintegrace.dk-i.cz/aktuality","1","true","https://restartintegrace.dk-i.cz/aktuality","true","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","false","Organization; PostalAddress; WebSite; WebPage; ImageObject; BreadcrumbList; ListItem; Article","17274","OK",""
"sitemap-news.xml","Aktuality a tematické archivy","https://restartintegrace.dk-i.cz/aktuality/volna-pozice","2026-07-12","weekly","0.7","200","text/html; charset=utf-8","https://restartintegrace.dk-i.cz/aktuality/volna-pozice","1","true","https://restartintegrace.dk-i.cz/aktuality/volna-pozice","true","index, follow, max-image-preview:large, max-snippet:-1","false","CollectionPage; Organization","1778","OK",""
"sitemap-news.xml","Aktuality a tematické archivy","https://restartintegrace.dk-i.cz/aktuality/jailbreak","2026-07-07","weekly","0.7","200","text/html; charset=utf-8","https://restartintegrace.dk-i.cz/aktuality/jailbreak","1","true","https://restartintegrace.dk-i.cz/aktuality/jailbreak","true","index, follow, max-image-preview:large, max-snippet:-1","false","CollectionPage; Organization","1824","OK",""
"sitemap-news.xml","Aktuality a tematické archivy","https://restartintegrace.dk-i.cz/aktuality/dokumentace","2026-07-07","weekly","0.7","200","text/html; charset=utf-8","https://restartintegrace.dk-i.cz/aktuality/dokumentace","1","true","https://restartintegrace.dk-i.cz/aktuality/dokumentace","true","index, follow, max-image-preview:large, max-snippet:-1","false","CollectionPage; Organization","1770","OK",""
"sitemap-news.xml","Aktuality a tematické archivy","https://restartintegrace.dk-i.cz/aktuality/media-a-materialy","2026-06-26","weekly","0.7","200","text/html; charset=utf-8","https://restartintegrace.dk-i.cz/aktuality/media-a-materialy","1","true","https://restartintegrace.dk-i.cz/aktuality/media-a-materialy","true","index, follow, max-image-preview:large, max-snippet:-1","false","CollectionPage; Organization","2382","OK",""
"sitemap-news.xml","Aktuality a tematické archivy","https://restartintegrace.dk-i.cz/aktuality/aktuality","2026-06-16","weekly","0.7","200","text/html; charset=utf-8","https://restartintegrace.dk-i.cz/aktuality/aktuality","1","true","https://restartintegrace.dk-i.cz/aktuality/aktuality","true","index, follow, max-image-preview:large, max-snippet:-1","false","CollectionPage; Organization","2046","OK",""
"sitemap-news.xml","Aktuality a tematické archivy","https://restartintegrace.dk-i.cz/aktuality/aktuality-projektu","2026-06-03","weekly","0.7","200","text/html; charset=utf-8","https://restartintegrace.dk-i.cz/aktuality/aktuality-projektu","1","true","https://restartintegrace.dk-i.cz/aktuality/aktuality-projektu","true","index, follow, max-image-preview:large, max-snippet:-1","false","CollectionPage; Organization","2921","OK",""
"sitemap-news.xml","Aktuality a tematické archivy","https://restartintegrace.dk-i.cz/aktuality/volna-pozice/hledame","2026-07-12","weekly","0.7","200","text/html; charset=utf-8","https://restartintegrace.dk-i.cz/aktuality/volna-pozice/hledame","1","true","https://restartintegrace.dk-i.cz/aktuality/volna-pozice/hledame","true","index, follow, max-image-preview:large, max-snippet:-1","false","NewsArticle; Organization","3986","OK",""
"sitemap-news.xml","Aktuality a tematické archivy","https://restartintegrace.dk-i.cz/aktuality/jailbreak/restart-jailbreak-problematika-preplnenych-veznic","2026-07-07","weekly","0.7","200","text/html; charset=utf-8","https://restartintegrace.dk-i.cz/aktuality/jailbreak/restart-jailbreak-problematika-preplnenych-veznic","1","true","https://restartintegrace.dk-i.cz/aktuality/jailbreak/restart-jailbreak-problematika-preplnenych-veznic","true","index, follow, max-image-preview:large, max-snippet:-1","false","NewsArticle; Organization","5363","OK",""
"sitemap-news.xml","Aktuality a tematické archivy","https://restartintegrace.dk-i.cz/aktuality/dokumentace/manifest-restart-integrace","2026-07-07","weekly","0.7","200","text/html; charset=utf-8","https://restartintegrace.dk-i.cz/aktuality/dokumentace/manifest-restart-integrace","1","true","https://restartintegrace.dk-i.cz/aktuality/dokumentace/manifest-restart-integrace","true","index, follow, max-image-preview:large, max-snippet:-1","false","NewsArticle; Organization","4610","OK",""
"sitemap-news.xml","Aktuality a tematické archivy","https://restartintegrace.dk-i.cz/pribehy-druhe-sance/story-z-praxe-ne-od-stolu","2026-07-02","weekly","0.7","200","text/html; charset=utf-8","https://restartintegrace.dk-i.cz/pribehy-druhe-sance/story-z-praxe-ne-od-stolu","1","true","https://restartintegrace.dk-i.cz/pribehy-druhe-sance/story-z-praxe-ne-od-stolu","true","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","false","Organization; PostalAddress; WebSite; WebPage; ImageObject; BreadcrumbList; ListItem; Article","19003","OK",""
"sitemap-news.xml","Aktuality a tematické archivy","https://restartintegrace.dk-i.cz/aktuality/media-a-materialy/nove-brozury-restart-integrace-jsou-verejne-ke-stazeni","2026-06-26","weekly","0.7","200","text/html; charset=utf-8","https://restartintegrace.dk-i.cz/aktuality/media-a-materialy/nove-brozury-restart-integrace-jsou-verejne-ke-stazeni","1","true","https://restartintegrace.dk-i.cz/aktuality/media-a-materialy/nove-brozury-restart-integrace-jsou-verejne-ke-stazeni","true","index, follow, max-image-preview:large, max-snippet:-1","false","NewsArticle; Organization","2610","OK",""
"sitemap-news.xml","Aktuality a tematické archivy","https://restartintegrace.dk-i.cz/aktuality/media-a-materialy/brozurynew","2026-06-26","weekly","0.7","200","text/html; charset=utf-8","https://restartintegrace.dk-i.cz/aktuality/media-a-materialy/brozurynew","1","true","https://restartintegrace.dk-i.cz/aktuality/media-a-materialy/brozurynew","true","index, follow, max-image-preview:large, max-snippet:-1","false","NewsArticle; Organization","3509","OK",""
"sitemap-news.xml","Aktuality a tematické archivy","https://restartintegrace.dk-i.cz/pribehy-druhe-sance/story-petr-s-druha-sance","2026-06-24","weekly","0.7","200","text/html; charset=utf-8","https://restartintegrace.dk-i.cz/pribehy-druhe-sance/story-petr-s-druha-sance","1","true","https://restartintegrace.dk-i.cz/pribehy-druhe-sance/story-petr-s-druha-sance","true","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","false","Organization; PostalAddress; WebSite; WebPage; ImageObject; BreadcrumbList; ListItem; Article","18824","OK",""
"sitemap-news.xml","Aktuality a tematické archivy","https://restartintegrace.dk-i.cz/aktuality/aktuality/novy-web-restart-integrace-je-otevreny","2026-06-16","weekly","0.7","200","text/html; charset=utf-8","https://restartintegrace.dk-i.cz/aktuality/aktuality/novy-web-restart-integrace-je-otevreny","1","true","https://restartintegrace.dk-i.cz/aktuality/aktuality/novy-web-restart-integrace-je-otevreny","true","index, follow, max-image-preview:large, max-snippet:-1","false","NewsArticle; Organization","5485","OK",""
"sitemap-news.xml","Aktuality a tematické archivy","https://restartintegrace.dk-i.cz/aktuality/aktuality-projektu/ne-kazdy-ma-moznosti-restart-umoznuje-zkusit-to-znovu","2026-06-03","weekly","0.7","200","text/html; charset=utf-8","https://restartintegrace.dk-i.cz/aktuality/aktuality-projektu/ne-kazdy-ma-moznosti-restart-umoznuje-zkusit-to-znovu","1","true","https://restartintegrace.dk-i.cz/aktuality/aktuality-projektu/ne-kazdy-ma-moznosti-restart-umoznuje-zkusit-to-znovu","true","index, follow, max-image-preview:large, max-snippet:-1","false","NewsArticle; Organization","2553","OK",""
"sitemap-news.xml","Aktuality a tematické archivy","https://restartintegrace.dk-i.cz/aktuality/aktuality-projektu/druhasance","2026-06-03","weekly","0.7","200","text/html; charset=utf-8","https://restartintegrace.dk-i.cz/aktuality/aktuality-projektu/druhasance","1","true","https://restartintegrace.dk-i.cz/aktuality/aktuality-projektu/druhasance","true","index, follow, max-image-preview:large, max-snippet:-1","false","NewsArticle; Organization","2532","OK",""
"sitemap-news.xml","Aktuality a tematické archivy","https://restartintegrace.dk-i.cz/aktuality/aktuality-projektu/28-05-2026-10-00-schuzka","2026-05-28","weekly","0.7","200","text/html; charset=utf-8","https://restartintegrace.dk-i.cz/aktuality/aktuality-projektu/28-05-2026-10-00-schuzka","1","true","https://restartintegrace.dk-i.cz/aktuality/aktuality-projektu/28-05-2026-10-00-schuzka","true","index, follow, max-image-preview:large, max-snippet:-1","false","NewsArticle; Organization","2132","OK",""
"sitemap-news.xml","Aktuality a tematické archivy","https://restartintegrace.dk-i.cz/aktuality/aktuality-projektu/lide-na-okraji-spolecnosti","2026-05-13","weekly","0.7","200","text/html; charset=utf-8","https://restartintegrace.dk-i.cz/aktuality/aktuality-projektu/lide-na-okraji-spolecnosti","1","true","https://restartintegrace.dk-i.cz/aktuality/aktuality-projektu/lide-na-okraji-spolecnosti","true","index, follow, max-image-preview:large, max-snippet:-1","false","NewsArticle; Organization","2263","OK",""
"sitemap-documents.xml","Veřejné dokumenty PDF","https://restartintegrace.dk-i.cz/documents/methodology/metodika-restart-integrace.pdf","2026-07-30","monthly","0.65","200","application/pdf","https://restartintegrace.dk-i.cz/documents/methodology/metodika-restart-integrace.pdf","","","","","","false","","4058060","OK",""
"sitemap-documents.xml","Veřejné dokumenty PDF","https://restartintegrace.dk-i.cz/documents/transparency/RAI-DOC-PROJ-001_ONE_PAGE_PROJEKT_2026_v1_5_CONTENT_LOCKED.pdf","2026-07-30","monthly","0.45","200","application/pdf","https://restartintegrace.dk-i.cz/documents/transparency/RAI-DOC-PROJ-001_ONE_PAGE_PROJEKT_2026_v1_5_CONTENT_LOCKED.pdf","","","","","","false","","113790","OK",""
"sitemap-documents.xml","Veřejné dokumenty PDF","https://restartintegrace.dk-i.cz/documents/transparency/RAI-FRM-GDPR-013_ODVOLANI_NEBO_OMEZENI_SOUHLASU_FILLABLE_v1_3_CONTENT_LOCKED.pdf","2026-07-30","monthly","0.45","200","application/pdf","https://restartintegrace.dk-i.cz/documents/transparency/RAI-FRM-GDPR-013_ODVOLANI_NEBO_OMEZENI_SOUHLASU_FILLABLE_v1_3_CONTENT_LOCKED.pdf","","","","","","false","","133986","OK",""
"sitemap-documents.xml","Veřejné dokumenty PDF","https://restartintegrace.dk-i.cz/documents/transparency/RAI-MET-JB-001_METODIKA_JAILBREAK_v1_5_CONTENT_LOCKED.pdf","2026-07-30","monthly","0.45","200","application/pdf","https://restartintegrace.dk-i.cz/documents/transparency/RAI-MET-JB-001_METODIKA_JAILBREAK_v1_5_CONTENT_LOCKED.pdf","","","","","","false","","107105","OK",""
"sitemap-documents.xml","Veřejné dokumenty PDF","https://restartintegrace.dk-i.cz/documents/transparency/REST_ART_KAPITOLA_INSTITUCIONALNI_PARTNERSTVI_v1.pdf","2026-07-30","monthly","0.45","200","application/pdf","https://restartintegrace.dk-i.cz/documents/transparency/REST_ART_KAPITOLA_INSTITUCIONALNI_PARTNERSTVI_v1.pdf","","","","","","false","","659695","OK",""
"sitemap-documents.xml","Veřejné dokumenty PDF","https://restartintegrace.dk-i.cz/documents/transparency/REST_ART_KPZ_OPZ_051_REALIZACNI_FAZE_v1.pdf","2026-07-30","monthly","0.45","200","application/pdf","https://restartintegrace.dk-i.cz/documents/transparency/REST_ART_KPZ_OPZ_051_REALIZACNI_FAZE_v1.pdf","","","","","","false","","272509","OK",""
"sitemap-documents.xml","Veřejné dokumenty PDF","https://restartintegrace.dk-i.cz/documents/transparency/REST_ART_KPZ_POLITIKY_KTERE_FUNGUJI_v1.pdf","2026-07-30","monthly","0.45","200","application/pdf","https://restartintegrace.dk-i.cz/documents/transparency/REST_ART_KPZ_POLITIKY_KTERE_FUNGUJI_v1.pdf","","","","","","false","","257415","OK",""
"sitemap-documents.xml","Veřejné dokumenty PDF","https://restartintegrace.dk-i.cz/documents/transparency/REST_ART_PODKLAD_KONZULTACE_OPZ_051_59_v1.pdf","2026-07-30","monthly","0.45","200","application/pdf","https://restartintegrace.dk-i.cz/documents/transparency/REST_ART_PODKLAD_KONZULTACE_OPZ_051_59_v1.pdf","","","","","","false","","737658","OK",""
"sitemap-documents.xml","Veřejné dokumenty PDF","https://restartintegrace.dk-i.cz/documents/transparency/REST_ART_PODKLAD_KONZULTACE_OPZ_051_v1.pdf","2026-07-30","monthly","0.45","200","application/pdf","https://restartintegrace.dk-i.cz/documents/transparency/REST_ART_PODKLAD_KONZULTACE_OPZ_051_v1.pdf","","","","","","false","","182659","OK",""
"sitemap-documents.xml","Veřejné dokumenty PDF","https://restartintegrace.dk-i.cz/documents/transparency/vyrocni-zprava-restart-integrace.pdf","2026-07-30","monthly","0.45","200","application/pdf","https://restartintegrace.dk-i.cz/documents/transparency/vyrocni-zprava-restart-integrace.pdf","","","","","","false","","8024544","OK",""
"sitemap-documents.xml","Veřejné dokumenty PDF","https://restartintegrace.dk-i.cz/documents/media/brochure-jailbreak.pdf","2026-07-30","monthly","0.45","200","application/pdf","https://restartintegrace.dk-i.cz/documents/media/brochure-jailbreak.pdf","","","","","","false","","1766433","OK",""
"sitemap-documents.xml","Veřejné dokumenty PDF","https://restartintegrace.dk-i.cz/documents/media/brochure-rozkladaci-03.pdf","2026-07-30","monthly","0.45","200","application/pdf","https://restartintegrace.dk-i.cz/documents/media/brochure-rozkladaci-03.pdf","","","","","","false","","1445504","OK",""
"sitemap-documents.xml","Veřejné dokumenty PDF","https://restartintegrace.dk-i.cz/documents/media/elegant-brochure.pdf","2026-07-30","monthly","0.45","200","application/pdf","https://restartintegrace.dk-i.cz/documents/media/elegant-brochure.pdf","","","","","","false","","524788","OK",""
"sitemap-documents.xml","Veřejné dokumenty PDF","https://restartintegrace.dk-i.cz/documents/media/restart-plakat.pdf","2026-07-30","monthly","0.45","200","application/pdf","https://restartintegrace.dk-i.cz/documents/media/restart-plakat.pdf","","","","","","false","","7004790","OK",""
"sitemap-methodology.xml","Metodika","https://restartintegrace.dk-i.cz/metodika","2026-07-30","monthly","0.75","200","text/html; charset=utf-8","https://restartintegrace.dk-i.cz/metodika","1","true","https://restartintegrace.dk-i.cz/metodika","true","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","false","Organization; PostalAddress; WebSite; WebPage; ImageObject; BreadcrumbList; ListItem","16846","OK",""
"sitemap-methodology.xml","Metodika","https://restartintegrace.dk-i.cz/metodika/manifest","2026-07-30","monthly","0.72","200","text/html; charset=utf-8","https://restartintegrace.dk-i.cz/metodika/manifest","1","true","https://restartintegrace.dk-i.cz/metodika/manifest","true","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","false","Organization; PostalAddress; WebSite; WebPage; ImageObject; BreadcrumbList; ListItem; Article","22298","OK",""
"sitemap-methodology.xml","Metodika","https://restartintegrace.dk-i.cz/metodika/charta","2026-07-30","monthly","0.72","200","text/html; charset=utf-8","https://restartintegrace.dk-i.cz/metodika/charta","1","true","https://restartintegrace.dk-i.cz/metodika/charta","true","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","false","Organization; PostalAddress; WebSite; WebPage; ImageObject; BreadcrumbList; ListItem; Article","26726","OK",""
"sitemap-methodology.xml","Metodika","https://restartintegrace.dk-i.cz/metodika/slovnik-pojmu","2026-07-30","monthly","0.76","200","text/html; charset=utf-8","https://restartintegrace.dk-i.cz/metodika/slovnik-pojmu","1","true","https://restartintegrace.dk-i.cz/metodika/slovnik-pojmu","true","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","false","Organization; PostalAddress; WebSite; WebPage; ImageObject; BreadcrumbList; ListItem; Article; DefinedTermSet; DefinedTerm","49601","OK",""
"sitemap-methodology.xml","Metodika","https://restartintegrace.dk-i.cz/metodika/koncepcni-podklady","2026-07-30","monthly","0.72","200","text/html; charset=utf-8","https://restartintegrace.dk-i.cz/metodika/koncepcni-podklady","1","true","https://restartintegrace.dk-i.cz/metodika/koncepcni-podklady","true","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","false","Organization; PostalAddress; WebSite; WebPage; ImageObject; BreadcrumbList; ListItem; Article","25643","OK",""
"sitemap-media.xml","Obrázky a média","https://restartintegrace.dk-i.cz/","","","","200","text/html; charset=utf-8","https://restartintegrace.dk-i.cz/","1","true","https://restartintegrace.dk-i.cz/","true","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","false","Organization; PostalAddress; WebSite; WebPage; ImageObject; BreadcrumbList; ListItem","16975","OK",""
"sitemap-media.xml","Obrázky a média","https://restartintegrace.dk-i.cz/programy/streetwise","","","","200","text/html; charset=utf-8","https://restartintegrace.dk-i.cz/programy/streetwise","1","true","https://restartintegrace.dk-i.cz/programy/streetwise","true","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","false","Organization; PostalAddress; WebSite; WebPage; ImageObject; BreadcrumbList; ListItem","16899","OK",""
"sitemap-media.xml","Obrázky a média","https://restartintegrace.dk-i.cz/povinne-zverejnovani","","","","200","text/html; charset=utf-8","https://restartintegrace.dk-i.cz/povinne-zverejnovani","1","true","https://restartintegrace.dk-i.cz/povinne-zverejnovani","true","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","false","Organization; PostalAddress; WebSite; WebPage; ImageObject; BreadcrumbList; ListItem","16649","OK",""
"sitemap-media.xml","Obrázky a média","https://restartintegrace.dk-i.cz/pribehy-druhe-sance","","","","200","text/html; charset=utf-8","https://restartintegrace.dk-i.cz/pribehy-druhe-sance","1","true","https://restartintegrace.dk-i.cz/pribehy-druhe-sance","true","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","false","Organization; PostalAddress; WebSite; WebPage; ImageObject; BreadcrumbList; ListItem; Article","17504","OK",""
"sitemap-media.xml","Obrázky a média","https://restartintegrace.dk-i.cz/zapojeni","","","","200","text/html; charset=utf-8","https://restartintegrace.dk-i.cz/zapojeni","1","true","https://restartintegrace.dk-i.cz/zapojeni","true","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","false","Organization; PostalAddress; WebSite; WebPage; ImageObject; BreadcrumbList; ListItem","16214","OK",""
"sitemap-media.xml","Obrázky a média","https://restartintegrace.dk-i.cz/media","","","","200","text/html; charset=utf-8","https://restartintegrace.dk-i.cz/media","1","true","https://restartintegrace.dk-i.cz/media","true","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","false","Organization; PostalAddress; WebSite; WebPage; ImageObject; BreadcrumbList; ListItem","16266","OK",""
"sitemap-donate.xml","Zapojení a dary","https://restartintegrace.dk-i.cz/zapojeni","2026-07-30","monthly","0.8","200","text/html; charset=utf-8","https://restartintegrace.dk-i.cz/zapojeni","1","true","https://restartintegrace.dk-i.cz/zapojeni","true","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","false","Organization; PostalAddress; WebSite; WebPage; ImageObject; BreadcrumbList; ListItem","16214","OK",""
