form_uid;title;category_code;relative_path;barcode_action;barcode_position;barcode_reason;sha256_hash
RAI-FRM-GDPR-001;Krycí list GDPR balíčku;01_GDPR_A_SOUHLASY;01_GDPR_A_SOUHLASY/RAI-FRM-GDPR-001_KRYCI_LIST_GDPR_BALICKU_FILLABLE_v1_3_CONTENT_LOCKED.pdf;kept_existing;existing;GDPR already includes barcode from v1.3 source;e28eeeb0bc0993e8a28e5f0f36fe64d06a01b31d2f34982b0d86dc0995242723
RAI-FRM-GDPR-002;Informační memorandum;01_GDPR_A_SOUHLASY;01_GDPR_A_SOUHLASY/RAI-FRM-GDPR-002_INFORMACNI_MEMORANDUM_FILLABLE_v1_3_CONTENT_LOCKED.pdf;kept_existing;existing;GDPR already includes barcode from v1.3 source;10db0c85581a4326f79021bf56ec17c0eca5780273968a221281e013cbf8c5e8
RAI-FRM-GDPR-003;Informovaný souhlas GDPR;01_GDPR_A_SOUHLASY;01_GDPR_A_SOUHLASY/RAI-FRM-GDPR-003_INFORMOVANY_SOUHLAS_GDPR_FILLABLE_v1_3_CONTENT_LOCKED.pdf;kept_existing;existing;GDPR already includes barcode from v1.3 source;f37b06b11c9962c23afaf791ecd1d23742eb6dcf7d17b11fd97a4613737fa7b9
RAI-FRM-GDPR-004;Zvláštní kategorie údajů;01_GDPR_A_SOUHLASY;01_GDPR_A_SOUHLASY/RAI-FRM-GDPR-004_ZVLASTNI_KATEGORIE_UDAJU_FILLABLE_v1_3_CONTENT_LOCKED.pdf;kept_existing;existing;GDPR already includes barcode from v1.3 source;365d70b25069bec5f3fc93f43180b0807359fb633cfbef5fa9788fefdeb11237
RAI-FRM-GDPR-005;Foto / video / audio souhlas;01_GDPR_A_SOUHLASY;01_GDPR_A_SOUHLASY/RAI-FRM-GDPR-005_FOTO_VIDEO_AUDIO_FILLABLE_v1_3_CONTENT_LOCKED.pdf;kept_existing;existing;GDPR already includes barcode from v1.3 source;ef86dc79a8616b2e989bfb422c577bee583dd7883be226dd84a1f32161e1eaa1
RAI-FRM-GDPR-006;Příběh / citace / kazuistika;01_GDPR_A_SOUHLASY;01_GDPR_A_SOUHLASY/RAI-FRM-GDPR-006_PRIBEH_CITACE_KAZUISTIKA_FILLABLE_v1_3_CONTENT_LOCKED.pdf;kept_existing;existing;GDPR already includes barcode from v1.3 source;565936041189af0226df821eff4f355ffd5f2d991e5bf374545b1b59409f481b
RAI-FRM-GDPR-007;Sdílení údajů s partnery;01_GDPR_A_SOUHLASY;01_GDPR_A_SOUHLASY/RAI-FRM-GDPR-007_SDILENI_UDAJU_S_PARTNERY_FILLABLE_v1_3_CONTENT_LOCKED.pdf;kept_existing;existing;GDPR already includes barcode from v1.3 source;ad741a56efb7b9f51f0393daead9ea962b2747342b7c93a878cb4e10d867b239
RAI-FRM-GDPR-008;Elektronická komunikace a follow-up;01_GDPR_A_SOUHLASY;01_GDPR_A_SOUHLASY/RAI-FRM-GDPR-008_ELEKTRONICKA_KOMUNIKACE_FOLLOW_UP_FILLABLE_v1_3_CONTENT_LOCKED.pdf;kept_existing;existing;GDPR already includes barcode from v1.3 source;67050613395bd46cdf9cdd265e0aab884707f0ec03d3cdf16bb5f7a5be4ee108
RAI-FRM-GDPR-009;BOD ZLOMU - mladistvý / zákonný zástupce;01_GDPR_A_SOUHLASY;01_GDPR_A_SOUHLASY/RAI-FRM-GDPR-009_BOD_ZLOMU_MLADISTVY_ZAKONNY_ZASTUPCE_FILLABLE_v1_3_CONTENT_LOCKED.pdf;kept_existing;existing;GDPR already includes barcode from v1.3 source;f9463b77b7a5584c6a69c9f5886d092aa45719857ab63899054b193bb4c4432a
RAI-FRM-GDPR-010;Dobrovolník - osobní údaje;01_GDPR_A_SOUHLASY;01_GDPR_A_SOUHLASY/RAI-FRM-GDPR-010_DOBROVOLNIK_OSOBNI_UDAJE_FILLABLE_v1_3_CONTENT_LOCKED.pdf;kept_existing;existing;GDPR already includes barcode from v1.3 source;5b4dd2e098c2145518e37da41540f8b0ccec7c2a82effd493e024075cdcd45aa
