form_uid;nazev;kategorie;verze;soubor
RAI-FRM-GDPR-001;Krycí list GDPR balíčku;01_GDPR_A_SOUHLASY;v1.3;RAI-FRM-GDPR-001_KRYCI_LIST_GDPR_BALICKU_FILLABLE_v1_3_CONTENT_LOCKED.pdf
RAI-FRM-GDPR-002;Informační memorandum;01_GDPR_A_SOUHLASY;v1.3;RAI-FRM-GDPR-002_INFORMACNI_MEMORANDUM_FILLABLE_v1_3_CONTENT_LOCKED.pdf
RAI-FRM-GDPR-003;Informovaný souhlas GDPR;01_GDPR_A_SOUHLASY;v1.3;RAI-FRM-GDPR-003_INFORMOVANY_SOUHLAS_GDPR_FILLABLE_v1_3_CONTENT_LOCKED.pdf
RAI-FRM-GDPR-004;Zvláštní kategorie údajů;01_GDPR_A_SOUHLASY;v1.3;RAI-FRM-GDPR-004_ZVLASTNI_KATEGORIE_UDAJU_FILLABLE_v1_3_CONTENT_LOCKED.pdf
RAI-FRM-GDPR-005;Foto / video / audio souhlas;01_GDPR_A_SOUHLASY;v1.3;RAI-FRM-GDPR-005_FOTO_VIDEO_AUDIO_FILLABLE_v1_3_CONTENT_LOCKED.pdf
RAI-FRM-GDPR-006;Příběh / citace / kazuistika;01_GDPR_A_SOUHLASY;v1.3;RAI-FRM-GDPR-006_PRIBEH_CITACE_KAZUISTIKA_FILLABLE_v1_3_CONTENT_LOCKED.pdf
RAI-FRM-GDPR-007;Sdílení údajů s partnery;01_GDPR_A_SOUHLASY;v1.3;RAI-FRM-GDPR-007_SDILENI_UDAJU_S_PARTNERY_FILLABLE_v1_3_CONTENT_LOCKED.pdf
RAI-FRM-GDPR-008;Elektronická komunikace a follow-up;01_GDPR_A_SOUHLASY;v1.3;RAI-FRM-GDPR-008_ELEKTRONICKA_KOMUNIKACE_FOLLOW_UP_FILLABLE_v1_3_CONTENT_LOCKED.pdf
RAI-FRM-GDPR-009;BOD ZLOMU - mladistvý / zákonný zástupce;01_GDPR_A_SOUHLASY;v1.3;RAI-FRM-GDPR-009_BOD_ZLOMU_MLADISTVY_ZAKONNY_ZASTUPCE_FILLABLE_v1_3_CONTENT_LOCKED.pdf
RAI-FRM-GDPR-010;Dobrovolník - osobní údaje;01_GDPR_A_SOUHLASY;v1.3;RAI-FRM-GDPR-010_DOBROVOLNIK_OSOBNI_UDAJE_FILLABLE_v1_3_CONTENT_LOCKED.pdf
RAI-FRM-GDPR-011;Pracovník / mentor - mlčenlivost;01_GDPR_A_SOUHLASY;v1.3;RAI-FRM-GDPR-011_PRACOVNIK_MENTOR_MLCENLIVOST_FILLABLE_v1_3_CONTENT_LOCKED.pdf
RAI-FRM-GDPR-012;Partner / externí subjekt;01_GDPR_A_SOUHLASY;v1.3;RAI-FRM-GDPR-012_PARTNER_EXTERNI_SUBJEKT_FILLABLE_v1_3_CONTENT_LOCKED.pdf
RAI-FRM-GDPR-013;Odvolání nebo omezení souhlasu;01_GDPR_A_SOUHLASY;v1.3;RAI-FRM-GDPR-013_ODVOLANI_NEBO_OMEZENI_SOUHLASU_FILLABLE_v1_3_CONTENT_LOCKED.pdf
RAI-FRM-GDPR-014;Žádost subjektu údajů;01_GDPR_A_SOUHLASY;v1.3;RAI-FRM-GDPR-014_ZADOST_SUBJEKTU_UDAJU_FILLABLE_v1_3_CONTENT_LOCKED.pdf
RAI-FRM-GDPR-015;Záznam o incidentu;01_GDPR_A_SOUHLASY;v1.3;RAI-FRM-GDPR-015_ZAZNAM_O_INCIDENTU_FILLABLE_v1_3_CONTENT_LOCKED.pdf
RAI-FRM-GDPR-016;Anonymizační a donor/export karta;01_GDPR_A_SOUHLASY;v1.3;RAI-FRM-GDPR-016_ANONYMIZACNI_DONOR_EXPORT_KARTA_FILLABLE_v1_3_CONTENT_LOCKED.pdf
RAI-FRM-GDPR-017;Archivace, skartace a přístupy;01_GDPR_A_SOUHLASY;v1.3;RAI-FRM-GDPR-017_ARCHIVACE_SKARTACE_PRISTUPY_FILLABLE_v1_3_CONTENT_LOCKED.pdf
RAI-FRM-KLI-001;Intake form;02_KLIENTSKA_SLOZKA;v1.5;RAI-FRM-KLI-001_INTAKE_FORM_FILLABLE_v1_5_CONTENT_LOCKED.pdf
RAI-FRM-KLI-002;Kniha klienta;02_KLIENTSKA_SLOZKA;v1.6;RAI-FRM-KLI-002_KNIHA_KLIENTA_FILLABLE_v1_6_COMPACT_CONTENT_LOCKED.pdf
RAI-FRM-KLI-003;Exit form;02_KLIENTSKA_SLOZKA;v1.5;RAI-FRM-KLI-003_EXIT_FORM_FILLABLE_v1_5_CONTENT_LOCKED.pdf
RAI-FRM-JB-001;JAILBREAK dotazník;09_PROGRAMOVE_PRILOHY;v1.5;RAI-FRM-JB-001_JAILBREAK_DOTAZNIK_FILLABLE_v1_5_CONTENT_LOCKED.pdf
RAI-FRM-INT-001;Kniha intervencí;03_INTERVENCE;v1.5;RAI-FRM-INT-001_KNIHA_INTERVENCI_FILLABLE_v1_5_CONTENT_LOCKED.pdf
RAI-FRM-KRZ-001;Kniha krizových intervencí;04_KRIZOVY_REZIM;v1.5;RAI-FRM-KRZ-001_KNIHA_KRIZOVYCH_INTERVENCI_FILLABLE_v1_5_CONTENT_LOCKED.pdf
RAI-FRM-KRZ-002;Krizový formulář;04_KRIZOVY_REZIM;v1.5;RAI-FRM-KRZ-002_KRIZOVY_FORMULAR_FILLABLE_v1_5_CONTENT_LOCKED.pdf
RAI-FRM-EVA-001;Stabilizační index;05_EVALUACE_A_FOLLOW_UP;v1.5;RAI-FRM-EVA-001_STABILIZACNI_INDEX_FILLABLE_v1_5_CONTENT_LOCKED.pdf
RAI-FRM-EVA-002;Follow-up tracking;05_EVALUACE_A_FOLLOW_UP;v1.5;RAI-FRM-EVA-002_FOLLOW_UP_TRACKING_FILLABLE_v1_5_CONTENT_LOCKED.pdf
RAI-FRM-ETY-001;Mlčenlivost a etický závazek týmu;07_ETIKA_A_TYM;v1.5;RAI-FRM-ETY-001_MLCENLIVOST_ETICKY_ZAVAZEK_FILLABLE_v1_5_CONTENT_LOCKED.pdf
RAI-FRM-REG-001;Registr dobrovolníků;06_REGISTRY;v1.5;RAI-FRM-REG-001_REGISTR_DOBROVOLNIKU_FILLABLE_v1_5_CONTENT_LOCKED.pdf
RAI-FRM-REG-002;Evidence komunitních aktivit;06_REGISTRY;v1.5;RAI-FRM-REG-002_EVIDENCE_KOMUNITNICH_AKTIVIT_FILLABLE_v1_5_CONTENT_LOCKED.pdf
RAI-FRM-REG-003;Registr partnerů;06_REGISTRY;v1.5;RAI-FRM-REG-003_REGISTR_PARTNERU_FILLABLE_v1_5_CONTENT_LOCKED.pdf
RAI-FRM-REG-004;Registr rizik;06_REGISTRY;v1.5;RAI-FRM-REG-004_REGISTR_RIZIK_FILLABLE_v1_5_CONTENT_LOCKED.pdf
RAI-FRM-REG-005;Registr stížností;06_REGISTRY;v1.5;RAI-FRM-REG-005_REGISTR_STIZNOSTI_FILLABLE_v1_5_CONTENT_LOCKED.pdf
