release;form_uid;program;page;pdf_field_name;visible_label;field_type
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;1;p1_interni_id;Interní ID klienta;text
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;1;p1_program;Program / vazba na podporu;text
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;1;p1_datum;Datum kontaktu / zpracování;text
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;1;p1_pracovnik;Pracovník / mentor;text
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;1;p1_misto;Místo / prostředí;text
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;1;p1_kontakt;Kontakt / bezpečný kanál;text
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;1;p1_duvod_vstupu;Důvod vstupu / zakázka klienta;textarea
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;1;p1_ocekavani;Očekávání klienta od podpory;textarea
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;2;p2_current_1_bydleni_po_propusteni;Bydlení po propuštění;textarea
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;2;p2_current_2_doklady_urady;Doklady / úřady;textarea
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;2;p2_current_3_prace_prijem;Práce / příjem;textarea
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;2;p2_current_4_dluhy_exekuce;Dluhy / exekuce;textarea
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;2;p2_current_5_rodina_podpurna_sit;Rodina / podpůrná síť;textarea
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;2;p2_current_6_pms_navazne_sluzby;PMS / návazné služby;textarea
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;2;p2_nejvetsi_problem;Co je dnes největší problém klienta;textarea
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;2;p2_co_funguje;Co už funguje / na čem lze stavět;textarea
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;3;p3_spec_1_za_jakou_trestnou_cinnost_je_klient_ve_vtos_byl_odsouze;Za jakou trestnou činnost je klient ve VTOS / byl odsouzen;textarea
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;3;p3_spec_2_pocet_vykonu_trestu;Počet výkonů trestu;textarea
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;3;p3_spec_3_kolik_let_celkem_ve_vykonu_trestu;Kolik let celkem ve výkonu trestu;textarea
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;3;p3_spec_4_planovane_probehle_propusteni;Plánované / proběhlé propuštění;textarea
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;3;p3_spec_5_je_klient_poprve_ve_vtos_nebo_opakovane;Je klient poprvé ve VTOS nebo opakovaně;textarea
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;3;p3_spec_6_vnima_klient_odpovednost_za_trestnou_cinnost;Vnímá klient odpovědnost za trestnou činnost;textarea
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;3;p3_spec_poznamka;Poznámka pracovníka / důležité souvislosti;textarea
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;4;p4_spec_1_citi_se_klient_vinen;Cítí se klient vinen;textarea
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;4;p4_spec_2_co_povazuje_za_vlastni_podil;Co považuje za vlastní podíl;textarea
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;4;p4_spec_3_co_povazuje_za_vliv_okoli_systemu;Co považuje za vliv okolí / systému;textarea
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;4;p4_spec_4_co_by_dnes_udelal_jinak;Co by dnes udělal jinak;textarea
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;4;p4_spec_5_kde_vidi_riziko_opakovani;Kde vidí riziko opakování;textarea
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;4;p4_spec_poznamka;Doplnění / citlivé sdělení klienta;textarea
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;5;p5_spec_1_proc_doslo_k_navratu_k_trestne_cinnosti;Proč došlo k návratu k trestné činnosti;textarea
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;5;p5_spec_2_co_bylo_spoustecem;Co bylo spouštěčem;textarea
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;5;p5_spec_3_jake_situace_predchazely_selhani;Jaké situace předcházely selhání;textarea
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;5;p5_spec_4_co_se_musi_zmenit_po_propusteni;Co se musí změnit po propuštění;textarea
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;5;p5_spec_5_co_uz_klient_nechce_opakovat;Co už klient nechce opakovat;textarea
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;5;p5_spec_poznamka;Pracovní závěr z programového screeningu;textarea
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;6;p6_risk_1_ztrata_bydleni_bezpecneho_mista;ztráta bydlení / bezpečného místa;checkbox
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;6;p6_risk_2_ztrata_kontaktu;ztráta kontaktu;checkbox
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;6;p6_risk_3_dluhy_exekuce;dluhy / exekuce;checkbox
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;6;p6_risk_4_relaps_intoxikace;relaps / intoxikace;checkbox
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;6;p6_risk_5_recidiva_poruseni_dohody;recidiva / porušení dohody;checkbox
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;6;p6_risk_6_akutni_psychicka_krize;akutní psychická krize;checkbox
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;6;p6_risk_7_konflikt_nasili_vyhruzky;konflikt / násilí / výhrůžky;checkbox
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;6;p6_risk_8_nizka_motivace;nízká motivace;checkbox
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;6;p6_risk_9_rizikove_prostredi_osoby;rizikové prostředí / osoby;checkbox
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;6;p6_risk_10_nedostatek_podpurne_site;nedostatek podpůrné sítě;checkbox
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;6;p6_risk_detail;Konkretizace rizik / kdy se riziko zvyšuje;textarea
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;7;p7_protect_1_bezpecna_osoba;bezpečná osoba;checkbox
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;7;p7_protect_2_stabilni_kontakt_s_pracovnikem;stabilní kontakt s pracovníkem;checkbox
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;7;p7_protect_3_motivace_pokracovat;motivace pokračovat;checkbox
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;7;p7_protect_4_pracovni_denni_rezim;pracovní / denní režim;checkbox
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;7;p7_protect_5_bydleni_bezpecne_misto;bydlení / bezpečné místo;checkbox
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;7;p7_protect_6_navazna_sluzba;návazná služba;checkbox
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;7;p7_protect_7_abstinencni_krizovy_plan;abstinenční / krizový plán;checkbox
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;7;p7_protect_8_rodina_komunita;rodina / komunita;checkbox
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;7;p7_protect_9_doklady_uredni_veci_v_reseni;doklady / úřední věci v řešení;checkbox
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;7;p7_protect_10_konkretni_cil_na_30_dni;konkrétní cíl na 30 dní;checkbox
v2.0 RC1;RAI-FRM-JB-001;JAILBREAK;7;p7_protect_detail;Konkretizace ochranných faktorů / kdo a co pomáhá;textarea
