form_uid;form_group;category_code;title;version;file_name;file_path;status;is_current;size_bytes;sha256
RAI-FRM-GDPR-001;GDPR;01_GDPR_A_SOUHLASY;GDPR 001 Kryci List GDPR Balicku;v1.3;RAI-FRM-GDPR-001_KRYCI_LIST_GDPR_BALICKU_FILLABLE_v1_3_CONTENT_LOCKED.pdf;/documents/forms/01_GDPR_A_SOUHLASY/RAI-FRM-GDPR-001_KRYCI_LIST_GDPR_BALICKU_FILLABLE_v1_3_CONTENT_LOCKED.pdf;active;1;124533;e28eeeb0bc0993e8a28e5f0f36fe64d06a01b31d2f34982b0d86dc0995242723
RAI-FRM-GDPR-0010;GDPR;01_GDPR_A_SOUHLASY;GDPR 0010 Dobrovolnik Osobni Udaje;v1.3;RAI-FRM-GDPR-0010_DOBROVOLNIK_OSOBNI_UDAJE_FILLABLE_v1_3_CONTENT_LOCKED.pdf;/documents/forms/01_GDPR_A_SOUHLASY/RAI-FRM-GDPR-0010_DOBROVOLNIK_OSOBNI_UDAJE_FILLABLE_v1_3_CONTENT_LOCKED.pdf;active;1;109758;5b4dd2e098c2145518e37da41540f8b0ccec7c2a82effd493e024075cdcd45aa
RAI-FRM-GDPR-002;GDPR;01_GDPR_A_SOUHLASY;GDPR 002 Informacni Memorandum;v1.3;RAI-FRM-GDPR-002_INFORMACNI_MEMORANDUM_FILLABLE_v1_3_CONTENT_LOCKED.pdf;/documents/forms/01_GDPR_A_SOUHLASY/RAI-FRM-GDPR-002_INFORMACNI_MEMORANDUM_FILLABLE_v1_3_CONTENT_LOCKED.pdf;active;1;119614;10db0c85581a4326f79021bf56ec17c0eca5780273968a221281e013cbf8c5e8
RAI-FRM-GDPR-003;GDPR;01_GDPR_A_SOUHLASY;GDPR 003 Informovany Souhlas GDPR;v1.1;RAI-FRM-GDPR-003-INFORMOVANY-SOUHLAS_GDPR.pdf;/documents/forms/01_GDPR_A_SOUHLASY/RAI-FRM-GDPR-003-INFORMOVANY-SOUHLAS_GDPR.pdf;active;1;98773;f37b06b11c9962c23afaf791ecd1d23742eb6dcf7d17b11fd97a4613737fa7b9
RAI-FRM-GDPR-004;GDPR;01_GDPR_A_SOUHLASY;GDPR 004 Zvlastni Kategorie Udaju;v1.3;RAI-FRM-GDPR-004_ZVLASTNI_KATEGORIE_UDAJU_FILLABLE_v1_3_CONTENT_LOCKED.pdf;/documents/forms/01_GDPR_A_SOUHLASY/RAI-FRM-GDPR-004_ZVLASTNI_KATEGORIE_UDAJU_FILLABLE_v1_3_CONTENT_LOCKED.pdf;active;1;119601;365d70b25069bec5f3fc93f43180b0807359fb633cfbef5fa9788fefdeb11237
RAI-FRM-GDPR-005;GDPR;01_GDPR_A_SOUHLASY;GDPR 005 Foto Video Audio;v1.3;RAI-FRM-GDPR-005_FOTO_VIDEO_AUDIO_FILLABLE_v1_3_CONTENT_LOCKED.pdf;/documents/forms/01_GDPR_A_SOUHLASY/RAI-FRM-GDPR-005_FOTO_VIDEO_AUDIO_FILLABLE_v1_3_CONTENT_LOCKED.pdf;active;1;108266;ef86dc79a8616b2e989bfb422c577bee583dd7883be226dd84a1f32161e1eaa1
RAI-FRM-GDPR-006;GDPR;01_GDPR_A_SOUHLASY;GDPR 006 Pribeh Citace Kazuistika;v1.3;RAI-FRM-GDPR-006_PRIBEH_CITACE_KAZUISTIKA_FILLABLE_v1_3_CONTENT_LOCKED.pdf;/documents/forms/01_GDPR_A_SOUHLASY/RAI-FRM-GDPR-006_PRIBEH_CITACE_KAZUISTIKA_FILLABLE_v1_3_CONTENT_LOCKED.pdf;active;1;108452;565936041189af0226df821eff4f355ffd5f2d991e5bf374545b1b59409f481b
RAI-FRM-GDPR-007;GDPR;01_GDPR_A_SOUHLASY;GDPR 007 Sdileni Udaju S Partnery;v1.3;RAI-FRM-GDPR-007_SDILENI_UDAJU_S_PARTNERY_FILLABLE_v1_3_CONTENT_LOCKED.pdf;/documents/forms/01_GDPR_A_SOUHLASY/RAI-FRM-GDPR-007_SDILENI_UDAJU_S_PARTNERY_FILLABLE_v1_3_CONTENT_LOCKED.pdf;active;1;120323;ad741a56efb7b9f51f0393daead9ea962b2747342b7c93a878cb4e10d867b239
RAI-FRM-GDPR-008;GDPR;01_GDPR_A_SOUHLASY;GDPR 008 Elektronicka Komunikace Follow Up;v1.3;RAI-FRM-GDPR-008_ELEKTRONICKA_KOMUNIKACE_FOLLOW_UP_FILLABLE_v1_3_CONTENT_LOCKED.pdf;/documents/forms/01_GDPR_A_SOUHLASY/RAI-FRM-GDPR-008_ELEKTRONICKA_KOMUNIKACE_FOLLOW_UP_FILLABLE_v1_3_CONTENT_LOCKED.pdf;active;1;119271;67050613395bd46cdf9cdd265e0aab884707f0ec03d3cdf16bb5f7a5be4ee108
RAI-FRM-GDPR-009;GDPR;01_GDPR_A_SOUHLASY;GDPR 009 Bod Zlomu Mladistvy Zakonny Zastupce;v1.3;RAI-FRM-GDPR-009_BOD_ZLOMU_MLADISTVY_ZAKONNY_ZASTUPCE_FILLABLE_v1_3_CONTENT_LOCKED.pdf;/documents/forms/01_GDPR_A_SOUHLASY/RAI-FRM-GDPR-009_BOD_ZLOMU_MLADISTVY_ZAKONNY_ZASTUPCE_FILLABLE_v1_3_CONTENT_LOCKED.pdf;active;1;109320;f9463b77b7a5584c6a69c9f5886d092aa45719857ab63899054b193bb4c4432a
